,auc,accuracy,precision,recall,f1
logistic_regression,0.7270493830656962,0.7962688105545249,0.782608895504847,0.9762949956101844,0.8684628159888497
decision_tree,0.6375284865992618,0.6883941455370026,0.7729099267570516,0.7746268656716417,0.7722604210897706
random_forest,0.7493979816288576,0.7656977942692229,0.780120768846259,0.9201931518876207,0.8426653083286004
xgboost,0.7140126691023063,0.7372500515357658,0.7840654360092733,0.8548287971905181,0.8166803602923753
